HUC12,sumDC,sumOC,sumTC,sumcpSEDLoadReduced,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDCredSED,minDCredSED,maxDCredSED,meanTCredSED,minTCredSED,maxTCredSED,opArea_ha,n
070600060901,59652.47706304,108906.6962284,121955.5230385,2639886.7412269767,1491,72,25237,2723,207,13008,3049,279,26765,0.033379692356019626,0.001443357983451477,0.3117142134269309,0.09519190596854127,0.005933423526970426,1.2814102800999567,272.9992042061446,40
070600061002,52679.8707746,167275.9158403,106147.6476381,2409058.880597271,1817,134,6275,5768,612,32587,3660,675,25513,0.030867234724622473,0.003218535194751101,0.12134508734994863,0.054723513085717615,0.01554915198654014,0.16650876977130163,408.90853252043746,29
070801010301,831295.11771309,2070238.9593926,1517741.3262977,12978070.481736781,2828,81,47262,7042,329,75520,5162,430,75254,0.08222996724510966,0.0033838606150772004,2.7816608280691386,0.23395856104357743,0.013189532192390675,12.264754420441994,3141.5185623301204,294
070801010302,96182.8539134,287669.179192,238369.6654759,1221684.8633914017,2748,412,43372,8219,1284,43069,6811,656,47486,0.22517824854532983,0.0029185549155096606,2.4788906770713366,0.9389593985816571,0.0132414644247198,11.563601142086998,386.0026413495189,35
070801010403,167590.569656,550774.2542123,488763.3233718,3498709.460058606,2619,155,51099,8606,725,74236,7637,1014,84168,0.0638937674089654,0.0031430270681441176,0.6393038354950592,0.22209176564685276,0.012652624264507577,2.5463514468215487,728.8202193556211,64
070801010405,228388.22911794,808776.014068,464892.0743087,3081215.3668022044,2261,48,35729,8008,362,60602,4603,410,38668,0.08388918357086914,0.004042106046013237,0.8055324814974762,0.2815867501473752,0.017133224439103582,3.4830545499477377,1146.6238629792779,101
070801010601,114499.240479898,373562.61924118,290420.96745175,2806260.5404168796,1847,3,17576,6025,19,29507,4684,21,33497,0.04667694455169453,0.003658039611818548,0.1931028546275824,0.1469583987889083,0.011802084573721755,0.9145438632796691,639.7825872202704,62
070801010602,537828.16984994,1617846.78294838,1088970.48458718,10387288.737826342,2359,92,43571,7096,64,52897,4776,362,61213,0.0827692647428985,0.0016028971630605313,2.4179060067316893,0.16106126050768754,0.0026958006589945533,2.9330937986082612,2738.3219490155666,228
070801010603,49082.1195917,204361.9133921,108630.9627645,1276969.9647337443,1444,99,5328,6011,486,17669,3195,585,19087,0.06597814707221716,0.0035809204567640025,0.2651630628847271,0.15150226671430173,0.019240896315594523,0.9866028329528285,374.5002785129144,34
070801010604,224362.51788888001,654314.20340462,456024.18339102,2585063.577495541,2876,76,35110,8389,90,32202,5846,364,37798,0.10057138496912786,0.00660364884894014,0.8479432676464423,0.24951583855801476,0.03653337174694764,3.3412264880778366,1054.006568533329,78
070801010605,123518.53990284,453141.5433149,292643.6993484,2472237.008555081,1436,78,16826,5269,409,39345,3403,487,45609,0.0703541196169145,0.004716165281916698,0.25629115307754546,0.14576368385692035,0.017678325831811798,0.9071009803890303,834.7820621560539,86
070801030202,1136668.1986671,2268893.4243025,1683170.6869363,9852094.999479394,6570,111,136070,13115,494,82047,9729,605,146643,0.19854607878718947,0.0014302054201486432,2.632054401860886,0.5576525441709859,0.005220538864911964,11.156470857459821,3185.9959292470576,173
070801030301,1646422.21010158,3446153.372247,3513277.63025018,11309027.507612046,5658,79,73329,11842,359,98380,12073,79,111404,2.5265128814691415,0.003771583736705641,663.0191556002599,11.561531945912728,0.015022235227854185,3092.8746760263766,4615.151339856055,291
070801030302,545077.81916407,1358840.5263488,1040844.0181149,6421945.6334706275,3866,93,56384,9637,416,52782,7382,509,61924,0.186499648684028,0.0023488705510983678,3.031400260762946,0.6601468446130436,0.010156326829423905,13.753442768009565,1925.92690898765,141
070801030303,1817570.95725248,4079838.4473547,3205535.9753688,25371269.224997263,4198,65,124882,9422,314,73207,7403,384,136442,0.12694164806950511,0.0016167197409006717,4.554136750724088,0.4269073315246701,0.0056815496670300225,19.691723711515873,5762.278542477784,433
070801030401,778149.1510054,2005705.80136777,1229932.61398107,7935002.7969213165,5086,138,122743,13109,70,60634,8039,390,134244,0.17946898577383508,0.001954733266519523,1.510109047731491,0.45515099300465717,0.008035614282939817,5.655025557627118,3189.643035099493,153
070801030402,247827.19533972,828215.890073,700134.9681701,5009363.949287039,2048,81,29420,6845,388,40707,5786,501,46875,0.09402632097363665,0.0025098941387423634,1.123603433748461,0.4035514325414849,0.015082627883402394,4.858373295506372,1395.327931710941,121
070801030403,433921.12960559997,1049852.7704649,759518.6657193,6966664.441057779,3709,107,77750,8973,318,46379,6492,429,84769,0.7069111270397512,0.003336147538217072,27.37200454599523,2.928366262359852,0.017129896585522587,118.35439824798891,1781.3260588435717,117
070801030404,160630.0480199,488821.9451054,482493.07994049997,750248.5053200392,3736,209,48856,11368,415,55757,11221,624,54527,0.19696513720963077,0.03494302635424829,1.59349599934214,0.6345626665340199,0.10440294164154418,2.197867758927633,910.5142490757707,43
070801030405,737458.37039901,1518569.7840032,1379592.7311775,10335295.58003107,3706,76,67429,7631,173,64820,6933,355,73901,0.15334902436609116,0.002785999947334412,9.181454806565696,0.5103172979743315,0.01403480492801681,41.656116372371685,2839.3967273655276,199
070801030406,1388726.94949386,3649542.8366399,2547801.4436582,30598620.198668215,2961,75,106260,7782,348,66869,5432,424,116459,0.1208166667957301,7.113011816351717e-4,9.019628793795054,0.4074321758541039,0.0030756105317925105,39.000167379521905,6021.318926838522,469
070801030407,1079484.06968311,2822095.4669579,1952767.7427991,27542756.609857418,2394,83,46607,6257,159,60723,4330,242,51081,0.10341887970617877,0.0010298803944562007,2.7772103429536745,0.33808791493661694,0.003233580870837574,12.008440217686395,4553.841668006085,451
070801030408,331038.50412981,1241234.3655869,789133.3606801,11324433.42773317,2019,91,27127,7569,435,66570,4812,526,76779,0.09649242732537741,0.0018890387125297594,6.169475978792001,0.25051285180795363,0.007524053658332614,14.845453113567665,2108.597503030679,164
070801030409,701311.8112911,955445.1807808001,1209570.0037512,5824035.1765040895,6376,72,267263,8686,252,50200,10996,370,291084,0.11924875785566708,0.003910282309877792,1.1218700293974846,0.30154103095708873,0.012626371169653244,1.3463296350046137,1775.4801541895654,110
070801030601,530859.97419488,1052850.176238,834678.4461246,8514355.149065027,2933,95,71502,5817,241,39074,4611,362,78202,0.33776110898243733,0.0013479645374842358,17.27828756203904,1.2746710435139068,0.0058284917968147686,74.70996251921268,1784.0549868812197,181
070801030602,317811.06375445,991649.4217852,620324.7379787,2088723.8102490008,3086,88,31357,9628,342,56394,6023,430,48425,0.2181052519457699,0.0031029294427640896,2.353523683080727,0.5830536853449314,0.0196332177119779,10.176449265737546,1664.9393817241541,103
070801030603,1340369.9350979,1723239.6478257,2129211.0443676002,9851158.658680871,6444,73,115394,8285,163,47985,10237,237,126733,0.18521040414399814,0.0028701322680755796,5.101749066222407,0.5290076402847346,0.011871228593220543,20.97250668705917,2781.9905215562094,208
070801030604,156813.6066332,152255.7610016,182030.8390462,560257.9557158356,10454,85,55726,10150,291,42062,12135,383,60820,0.22135464309114916,0.014049005594719891,0.7020654753628155,0.35259878499340114,0.06431703384824869,1.0831759995179506,256.1226833859698,15
070801030605,375399.45276212,754109.3710266,637976.8743886,5148014.056770314,3645,79,36537,7321,284,47281,6194,363,53675,0.08212697077620612,0.004068425934811887,0.7252081796594443,0.2233770980138907,0.01897854127460254,3.290264819366663,1241.1283095539386,103
070801030606,586323.5043369,873164.2196008,753683.6929628,5397682.751871463,6663,108,69271,9922,552,38655,8565,661,74980,0.10551182056317965,0.005080580800794894,0.6753071403515187,0.1888623409069107,0.028658195360718775,1.3376717704992604,1314.9892222462877,88
070801030607,146772.70012971,388934.6137689,305884.3180222,3488912.3458269667,2669,83,51833,7072,218,42113,5562,301,56453,0.08083371869714363,0.003486403759463236,1.515161579664661,0.26909743345615417,0.012634386596041722,6.034898513474649,746.6395565295991,55
070802060301,455600.78506668,1165112.854454,767745.474783,6445057.412546004,5625,72,72394,14384,487,88827,9478,559,79673,0.24267291902767155,0.002324986081548344,4.351963036227796,0.9047258571268256,0.010053056068653842,19.00300237022124,1660.3911293526303,81
070802060302,627056.79733213,1886450.71742181,1083381.12303971,14168251.155068956,3074,95,54398,9247,86,98007,5311,330,78059,0.12805651412893027,0.0023706546867030957,4.963560361658452,0.3514887399628179,0.010253136506773364,16.491044948490547,2921.009098942536,204
070802060406,203833.47379961,822772.30290712,452814.77507232,6187376.566195001,1998,68,10810,8066,77,49715,4439,462,45119,3.0828406699684554,8.504315646288968e-4,302.08593782389653,14.967516086155742,0.0010678752263634584,1486.4207947284413,1259.529961785377,102
070802060407,95339.5438141,326221.7671791,155450.23347120002,3119193.2829780728,2217,117,19262,7587,494,50732,3615,611,21001,0.05129554658114852,0.0030721549331203138,0.35953274697042786,0.07861095021411042,0.014308748162888883,0.35953274697042786,566.7277879610417,43
070802060501,1481314.94732988,2827651.5607574,2744383.1252193,12859538.871095164,5290,75,216896,10099,488,96852,9801,563,238210,0.15459360109813663,0.0025506371459678755,1.8788452776706845,0.5372499340499776,0.010702672819690612,7.997971870502249,3808.631484146364,280
070802060502,1768934.81918654,4129733.4612449,3107735.2789489,15860170.12794691,4595,71,88949,10727,165,89596,8072,169,97995,0.1589537225385052,0.002183053773442303,4.16792242920266,0.5247137064746152,0.009439351657575906,18.02176937399091,5594.804424305507,385
070802060503,562925.11104199,1004658.73123335,1051945.22690505,2855355.7943380848,6701,90,51637,11960,17,76250,12523,391,55944,0.2094489184646669,0.006181280565008731,1.6889550627268441,0.5420897667556578,0.007549060748923177,7.51882945813069,1481.6379734577476,84
070802060601,1480453.31177498,3544541.941507,2673161.7276713,17348025.082301944,5306,85,90702,12704,337,112342,9581,446,127699,0.13603685880077473,0.001097167165286353,7.144416341780705,0.46116299183767434,0.004744064727309271,35.154261453720466,4652.5923602228695,279
070802060602,1570314.6057236,4673033.5734867,2760399.7948032,31123663.319346596,3265,102,84693,9715,609,128265,5739,583,124253,0.1516166928799306,0.0013040159322558506,5.824149331377346,0.5418982625299306,0.00502719458905918,25.431357367768868,6410.241804456255,481
070802060603,1211472.25633909,2720823.196695,2042414.3602738,16739956.878236286,4079,80,59255,9161,358,47243,6877,458,64633,0.08334793257634218,0.001713865129410658,0.7573760971854561,0.18998163683027447,0.007410606797850045,3.210284518018279,4068.7823418911935,297
070802060704,946737.37716476,1840384.2270057,1468220.1247807,13853100.391811658,4552,92,134479,8848,407,56888,7059,513,147848,0.10744330022035403,0.001987540473921177,1.2159180221901857,0.2986742057554451,0.008593968779480257,4.909880196686476,2644.1088094513366,208
070802060801,374970.31564287,1408917.610035,896497.2227306,11539371.94225637,2500,76,37216,9393,387,83397,5977,463,48410,0.07952315697999864,0.0017911883560294208,3.2792601789103983,0.242620532955882,0.007744958219185797,13.899758912793034,2302.2021743703162,150
070802060802,677328.7507174,1137324.417633,1389448.2556449,3172201.1830865615,8161,400,236868,13703,1179,44563,16740,832,261228,0.1535166459354147,0.004788130971724059,1.0161534790169737,0.4514453981309116,0.019479201262849043,3.0201115609746414,1641.2204728370189,83
070802060803,418427.59223725,1221618.9392095,869101.3345816,7313397.494238041,2968,90,30203,8664,221,47067,6164,347,47853,3.5989077856513605,0.002299915833693292,494.0335777025307,7.079556358945468,0.00888328430290628,957.1968342888533,1982.8875858235683,141
070802060804,520316.81780176,1027428.36416242,1077896.37696862,3213455.711080135,4336,89,82869,8562,87,55295,8982,222,90729,0.48636998368010076,0.006175075528947908,6.91837503143213,1.5623428834746163,0.026214878626700782,32.27292720335509,1632.3508629808116,120
070802060805,49293.0864712,182509.6707202,208736.4099735,508811.1514690368,4481,167,18499,16592,809,72783,18976,976,84518,0.11115067297444285,0.005257336337351172,0.25995597817433974,0.40869545889158604,0.03389882250156341,1.1535390491192161,291.0493357455826,11
